,Address - From Geocoder,Company_Name,Date_Added,File_List,Geocode Score,Header,Latitude,Longitude,Match Score,Query,Text
0,"1201 Eddy St, Providence, RI",LAIRD DE vou INC Abrasive a CuttingSpecialists,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_2.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_3.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_4.png']",100.0,ABRASIVE MATERIALS,41.7925752431,-71.4038506575,100.0,1201 EDDY ST PROVIDENCE,LAIRD DE vou INC Abrasive a CuttingSpecialists 1201 Eddy St (02905) Tel 781-6282
0,"16 E River St, Providence, RI",Michigan Abrasive Co,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_5.png'],100.0,ABRASIVE MATERIALS,41.8278981859,-71.3814154655,100.0,16 E RIVER ST PROVIDENCE,Michigan Abrasive Co 16 East River St
0,"1201 Eddy St, Providence, RI",Laird De Vou Inc,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_7.png'],100.0,ABRASIVES-MFRS,41.7925752431,-71.4038506575,100.0,1201 EDDY ST PROVIDENCE,Laird De Vou Inc 1201 Eddy St
0,"325 Waterman St, Providence, RI",Michigan Abrasive Co (Grinding Wheel Div),2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_8.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_9.png']",100.0,ABRASIVES-MFRS,41.8275271993,-71.3828752628,100.0,325 WATERMAN ST PROVIDENCE,Michigan Abrasive Co (Grinding Wheel Div) 325 Waterman St
0,"85 Westminster St, Providence, RI",Home Owners Title Guarantee Co,2018-03-21,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_11.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_12.png']",100.0,ABSTRACTS OF TITLE,41.8246376826,-71.4103355895,90.0,85 WESTMINSTER ST PROVIDENCE,Home Owners Title Guarantee Co 85 Westminster St Rm 200
0,"354 Broadway, Providence, RI",Accinno John J,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_15.png'],89.04,ACCOUNTANTS-CERTIFIED PUBLIC,41.8197226252,-71.429485564,92.0,354 BROADWAY ST PROVIDENCE,Accinno John J 354 Broadway
0,"111 Westminster St, Providence, RI",Allegretti & Co,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_16.png'],100.0,ACCOUNTANTS-CERTIFIED PUBLIC,41.8243414414,-71.4107398174,90.0,111 WESTMINSTER ST PROVIDENCE,Allegretti & Co 111 Westminster St Rm 630
0,"2 Thomas St, Providence, RI",Andreoni & Co,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_17.png'],100.0,ACCOUNTANTS-CERTIFIED PUBLIC,41.8275323934,-71.4090520433,100.0,2 THOMAS ST PROVIDENCE,Andreoni & Co 2 Thomas St
0,"170 Westminster St, Providence, RI",Campana Philip J,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_20.png'],100.0,ACCOUNTANTS-CERTIFIED PUBLIC,41.8236835378,-71.4114619757,90.0,170 WESTMINSTER ST PROVIDENCE,Campana Philip J 170 Westminster St Rm 300
0,"34 Brinkley St, Providence, RI",Martone Robt,2018-03-21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_38.png'],100.0,ACCOUNTANTS-CERTIFIED PUBLIC,41.8320934566,-71.4615453822,100.0,34 BRINKLEY ST PROVIDENCE,Martone Robt 34 Brinkley St
