,File_List,Header,Text
0,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_2.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_3.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_4.png']",ABRASIVE MATERIALS,LAIRD DE vou INC Abrasive a CuttingSpecialists 1201 Eddy St (02905) Tel 781-6282
1,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_5.png'],ABRASIVE MATERIALS,Michigan Abrasive Co 16 East River St
2,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_7.png'],ABRASIVES-MFRS,Laird De Vou Inc 1201 Eddy St
3,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_8.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_9.png']",ABRASIVES-MFRS,Michigan Abrasive Co (Grinding Wheel Div) 325 Waterman St
4,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_11.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_12.png']",ABSTRACTS OF TITLE,Home Owners Title Guarantee Co 85 Westminster St Rm 200
5,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_15.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Accinno John J 354 Broadway
6,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_16.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Allegretti & Co 111 Westminster St Rm 630
7,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_17.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Andreoni & Co 2 Thomas St
8,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_18.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_19.png']",ACCOUNTANTS-CERTIFIED PUBLIC,Blackman 81 Blackman 111 Westminster St Rm 1209
9,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_20.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Campana Philip J 170 Westminster St Rm 300
10,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_21.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_22.png']",ACCOUNTANTS-CERTIFIED PUBLIC,Catoni Louis 1145 Reservoir Av Cranston R I (02920) Tel 944-4450
11,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_23.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_24.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_25.png']",ACCOUNTANTS-CERTIFIED PUBLIC,"Christiansen & Co 533 Industrial Bank Bldg 111 Westminster St (02903), Tel (401) 751- 7511"
12,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_26.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Cohn Newton B 15 Westminster St Rm 810
13,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_27.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Connor Ralph J 198 Dyer St Rm 215
14,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_28.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Pi Stefano & Co 741 Howard Bldg
15,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_29.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_30.png']",ACCOUNTANTS-CERTIFIED PUBLIC,"Ernst & Ernst One Hospital Trust- Plaza (02903), Tel 331-7000"
16,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_31.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Fielding Ralph R 15 Westminster St Rm 604
17,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_32.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Harris & Gifford 15 Westminster St Rm 815.
18,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_33.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_34.png']",ACCOUNTANTS-CERTIFIED PUBLIC,"Haskins & Sells 1501 Hospital Trust Tower (02903), Tel 861-0740"
19,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_35.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_36.png']",ACCOUNTANTS-CERTIFIED PUBLIC,Levesque Colucci & Co 245 Waterman St Rm 403
20,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_37.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Markoff Eli 111 Westminster St Rm 1915
21,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_38.png'],ACCOUNTANTS-CERTIFIED PUBLIC,Martone Robt 34 Brinkley St
22,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_39.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_40.png']",ACCOUNTANTS-CERTIFIED PUBLIC,O1Brien E L & Co 111 Westminster St Rm 2002
23,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_1.png'],ACCOUNTANTS-CERTIFIED PUBLIC,
24,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_3.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_4.png']",CONTD,Peat Marwick Mitchell & Co 40 Westminster St Rm 1800
25,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_5.png'],CONTD,Picchione Nicholas & Co 480 Benefit St
26,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_6.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_7.png']",CONTD,Price Waterhouse & Co 40 Westminster St (Suite 1200) (02903) Tel 421-0501
27,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_8.png'],CONTD,Selinker Solomon E 472 Smith St
28,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_9.png'],CONTD,Shea Quinlan J 15 Westminster St Rm 928
29,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_10.png'],CONTD,Sholes Andrew G 40 Westminster St Rm 1005
30,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_11.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_12.png']",CONTD,Silverman Jones & Co 15 Westminster St Rm 840
31,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_13.png'],CONTD,Villatico Guy 60 Broadway Suite G
32,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_14.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_15.png']",CONTD,Ward Fisher & Co 111 Westminster St Rm 510
33,"['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_16.png', 'test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_17.png']",CONTD,"Young Arthur & Company 111 Westminster St (02903), Tel 274-1800"
34,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_19.png'],ACCOUNTANTS-PUBLIC,Allen David 76 Westminster St Rm 1105
35,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_20.png'],ACCOUNTANTS-PUBLIC,Ambrifi & Assoc 34 Pontiac Av Rm 1
36,['test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (2)_21.png'],ACCOUNTANTS-PUBLIC,Ayers Earl 547 Mt Pleasant Av
