,crop_points,entry_num,file,first_black_pixel,sf,text,is_header,relative_fbp,cq
0,"[118, 247]",1,test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_1.png,333.878973573,0.976254308694,"ABRASIVE MATERIALS

",True,0.0,False
1,"[358, 481]",2,test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_2.png,50.7652240521,0.976254308694,"LAIRD DE vou INC Abrasive a

",False,-283.113749521,True
2,"[488, 620]",3,test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_3.png,257.731137495,0.976254308694,"CuttingSpecialists 1201 Eddy St

",False,206.965913443,True
3,"[612, 718]",4,test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_4.png,253.82612026,0.976254308694,"(02905) Tel 781-6282

",False,203.060896208,False
4,"[730, 852]",5,test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_5.png,43.9314438912,0.976254308694,"Michigan Abrasive Co 16 East River St

",False,-6.83378016086,False
5,"[986, 1112]",6,test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_6.png,324.116430486,0.976254308694,"ABRASIVES-MFRS

",True,280.184986595,False
6,"[1241, 1369]",7,test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_7.png,40.0264266565,0.976254308694,"Laird De Vou Inc 1201 Eddy St

",False,-3.90501723478,False
7,"[1360, 1490]",8,test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_8.png,39.0501723478,0.976254308694,"Michigan Abrasive Co (Grinding Wheel Div)

",False,-0.976254308694,True
8,"[1484, 1590]",9,test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_9.png,146.438146304,0.976254308694,"325 Waterman St

",False,107.387973956,False
9,"[1736, 1862]",10,test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_10.png,322.163921869,0.976254308694,"ABSTRACTS OF TITLE

",True,283.113749521,False
10,"[1989, 2101]",11,test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_11.png,41.0026809651,0.976254308694,"Home Owners Title Guarantee Co 85

",False,1.95250861739,True
11,"[2110, 2218]",12,test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_12.png,147.414400613,0.976254308694,"Westminster St Rm 200

",False,108.364228265,False
12,"[2366, 2494]",13,test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_13.png,321.18766756,0.976254308694,"ACCOUNTANTS-CERTIFIED

",True,282.137495213,False
13,"[2502, 2624]",14,test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_14.png,461.768288012,0.976254308694,"PUBLIC

",True,422.718115664,True
14,"[2758, 2884]",15,test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_15.png,35.145155113,0.976254308694,"Accinno John J 354 Broadway

",False,-3.90501723478,False
15,"[2878, 2999]",16,test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_16.png,34.1689008043,0.976254308694,"Allegretti & Co 111 Westminster St Rm 630

",False,-0.976254308694,False
16,"[3000, 3108]",17,test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_17.png,31.2401378782,0.976254308694,"Andreoni & Co 2 Thomas St

",False,-2.92876292608,False
17,"[3118, 3231]",18,test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_18.png,33.1926464956,0.976254308694,"Blackman 81 Blackman 111 Westminster St

",False,1.95250861739,True
18,"[3244, 3346]",19,test/no_ads/margins_fixed/cropped/entry/1978_Page_51 (1)_19.png,142.533129069,0.976254308694,"Rm 1209

",False,111.292991191,False
